source_pdf,source_date,list_kind,pages,arbitration_hits
raw_appellate_cl/pdfs/2026-01-08_supplementary_1_b2faf4749c.pdf,2026-01-08,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-08_supplementary_1_cd94fe9536.pdf,2026-01-08,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-09_daily_8da8e3fa58.pdf,2026-01-09,daily,553,301
raw_appellate_cl/pdfs/2026-01-09_supplementary_1_265e5f5e0f.pdf,2026-01-09,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-09_supplementary_1_731403e53a.pdf,2026-01-09,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-09_supplementary_1_78e2728131.pdf,2026-01-09,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-09_supplementary_1_a7a9c99be2.pdf,2026-01-09,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-09_supplementary_1_db469f0c78.pdf,2026-01-09,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-13_daily_028df89c2f.pdf,2026-01-13,daily,541,407
raw_appellate_cl/pdfs/2026-01-14_daily_5264e61034.pdf,2026-01-14,daily,519,298
raw_appellate_cl/pdfs/2026-01-15_daily_b699de6a60.pdf,2026-01-15,daily,542,343
raw_appellate_cl/pdfs/2026-01-16_daily_3b622378fd.pdf,2026-01-16,daily,526,295
raw_appellate_cl/pdfs/2026-01-16_supplementary_1_43b9b10fc7.pdf,2026-01-16,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-16_supplementary_1_6b514f2dc8.pdf,2026-01-16,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-19_daily_95bc78a272.pdf,2026-01-19,daily,586,356
raw_appellate_cl/pdfs/2026-01-20_daily_e911ac4ec1.pdf,2026-01-20,daily,593,532
raw_appellate_cl/pdfs/2026-01-21_daily_6e7a7bf901.pdf,2026-01-21,daily,574,529
raw_appellate_cl/pdfs/2026-01-21_supplementary_1_7a4814115d.pdf,2026-01-21,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-21_supplementary_1_8b23a265f8.pdf,2026-01-21,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-21_supplementary_1_fac17e8f60.pdf,2026-01-21,supplementary_1,2,0
raw_appellate_cl/pdfs/2026-01-21_supplementary_2_8d8c8661b3.pdf,2026-01-21,supplementary_2,1,0
raw_appellate_cl/pdfs/2026-01-22_daily_a1c2287631.pdf,2026-01-22,daily,566,427
raw_appellate_cl/pdfs/2026-01-22_supplementary_1_443b5635b9.pdf,2026-01-22,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-22_supplementary_1_c1bc72f508.pdf,2026-01-22,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-22_supplementary_2_8e08a27c49.pdf,2026-01-22,supplementary_2,1,0
raw_appellate_cl/pdfs/2026-01-23_supplementary_1_ce8ca6ddf2.pdf,2026-01-23,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-27_daily_317992116c.pdf,2026-01-27,daily,590,404
raw_appellate_cl/pdfs/2026-01-27_supplementary_1_cbf8345386.pdf,2026-01-27,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-28_daily_44349f2f2d.pdf,2026-01-28,daily,566,380
raw_appellate_cl/pdfs/2026-01-28_supplementary_1_37b4004749.pdf,2026-01-28,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-28_supplementary_1_424e2d51af.pdf,2026-01-28,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-28_supplementary_1_640090171a.pdf,2026-01-28,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-28_supplementary_2_a5bd0e40d0.pdf,2026-01-28,supplementary_2,1,0
raw_appellate_cl/pdfs/2026-01-29_daily_495b36ce24.pdf,2026-01-29,daily,562,383
raw_appellate_cl/pdfs/2026-01-29_supplementary_1_60f2eeebd0.pdf,2026-01-29,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-29_supplementary_1_a4a84676e0.pdf,2026-01-29,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-29_supplementary_1_a6aa53c6ea.pdf,2026-01-29,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-29_supplementary_1_f7d8193f3e.pdf,2026-01-29,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-30_daily_eea79f9577.pdf,2026-01-30,daily,604,303
raw_appellate_cl/pdfs/2026-01-30_supplementary_1_10beb3f694.pdf,2026-01-30,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-01-30_supplementary_1_b1d3694d91.pdf,2026-01-30,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-02_supplementary_1_44d6d6607a.pdf,2026-02-02,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-03_daily_33e41b7689.pdf,2026-02-03,daily,605,372
raw_appellate_cl/pdfs/2026-02-03_supplementary_1_7fca03b141.pdf,2026-02-03,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-04_daily_e54aa6283a.pdf,2026-02-04,daily,569,351
raw_appellate_cl/pdfs/2026-02-04_supplementary_1_2750eb657e.pdf,2026-02-04,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-04_supplementary_1_5d5ef0083d.pdf,2026-02-04,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-05_daily_0321fca896.pdf,2026-02-05,daily,583,390
raw_appellate_cl/pdfs/2026-02-05_supplementary_1_4829c543b8.pdf,2026-02-05,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-05_supplementary_1_fc33db9d4a.pdf,2026-02-05,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-05_supplementary_1_ff1ccdc6ef.pdf,2026-02-05,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-06_daily_fc0c938617.pdf,2026-02-06,daily,585,319
raw_appellate_cl/pdfs/2026-02-06_supplementary_1_eb48cc8b54.pdf,2026-02-06,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-09_daily_7971a64acd.pdf,2026-02-09,daily,480,367
raw_appellate_cl/pdfs/2026-02-09_supplementary_1_1c9f8d8289.pdf,2026-02-09,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-09_supplementary_1_81596d4b4c.pdf,2026-02-09,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-10_daily_08edd79639.pdf,2026-02-10,daily,546,412
raw_appellate_cl/pdfs/2026-02-10_supplementary_1_f55723d9c8.pdf,2026-02-10,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-11_daily_fda2b4f442.pdf,2026-02-11,daily,522,359
raw_appellate_cl/pdfs/2026-02-11_supplementary_1_0bdb4b644d.pdf,2026-02-11,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-11_supplementary_1_2e365183e0.pdf,2026-02-11,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-11_supplementary_2_32902ec87f.pdf,2026-02-11,supplementary_2,1,0
raw_appellate_cl/pdfs/2026-02-12_daily_8c6f0d862b.pdf,2026-02-12,daily,540,367
raw_appellate_cl/pdfs/2026-02-12_supplementary_1_75580c380b.pdf,2026-02-12,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-12_supplementary_1_e1d240077f.pdf,2026-02-12,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-13_daily_ec4e0cfe51.pdf,2026-02-13,daily,510,303
raw_appellate_cl/pdfs/2026-02-13_supplementary_1_6368ff63b3.pdf,2026-02-13,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-16_daily_7476351ee0.pdf,2026-02-16,daily,501,436
raw_appellate_cl/pdfs/2026-02-16_supplementary_1_7dc2771671.pdf,2026-02-16,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-17_daily_ed725ac412.pdf,2026-02-17,daily,508,509
raw_appellate_cl/pdfs/2026-02-17_supplementary_1_076f2f7406.pdf,2026-02-17,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-18_daily_0a1c418313.pdf,2026-02-18,daily,471,337
raw_appellate_cl/pdfs/2026-02-18_supplementary_1_e21ff50cfb.pdf,2026-02-18,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-19_daily_52acc5da0b.pdf,2026-02-19,daily,528,364
raw_appellate_cl/pdfs/2026-02-20_daily_4efee44408.pdf,2026-02-20,daily,469,319
raw_appellate_cl/pdfs/2026-02-20_supplementary_1_36af16544c.pdf,2026-02-20,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-20_supplementary_1_8a928a620b.pdf,2026-02-20,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-20_supplementary_1_bca6a18bd0.pdf,2026-02-20,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-23_daily_5c9a478096.pdf,2026-02-23,daily,565,399
raw_appellate_cl/pdfs/2026-02-23_supplementary_1_21b9535c30.pdf,2026-02-23,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-23_supplementary_1_7a1871056c.pdf,2026-02-23,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-23_supplementary_1_dadfae2693.pdf,2026-02-23,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-24_daily_28fa2b0bb1.pdf,2026-02-24,daily,494,391
raw_appellate_cl/pdfs/2026-02-24_supplementary_1_11b05310dc.pdf,2026-02-24,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-24_supplementary_1_f8fba8ec7a.pdf,2026-02-24,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-25_daily_52dfee4fc9.pdf,2026-02-25,daily,543,348
raw_appellate_cl/pdfs/2026-02-25_supplementary_1_a38350761d.pdf,2026-02-25,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-26_daily_9284e838b8.pdf,2026-02-26,daily,528,372
raw_appellate_cl/pdfs/2026-02-26_supplementary_1_67a6077c5d.pdf,2026-02-26,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-26_supplementary_1_e501c201e8.pdf,2026-02-26,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-27_daily_6acbfa610f.pdf,2026-02-27,daily,542,295
raw_appellate_cl/pdfs/2026-02-27_supplementary_1_05e0b67df0.pdf,2026-02-27,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-27_supplementary_1_0b6ab7fd50.pdf,2026-02-27,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-27_supplementary_1_1991d03ed4.pdf,2026-02-27,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-27_supplementary_1_3e1a7d977c.pdf,2026-02-27,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-27_supplementary_1_4a074bc8b6.pdf,2026-02-27,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-27_supplementary_1_587c1556c5.pdf,2026-02-27,supplementary_1,1,8
